id,strategy,output,correct
Q26,baseline,Monday.,0
Q26,cot,"Therefore, January 1st of that year is a Monday.",0
Q26,sc,"Therefore, January 1st of that year is a Monday.",0
Q27,baseline,56 matches,1
Q27,cot,"Thus, a total of 56 matches are played in the tournament.",1
Q27,sc,"Thus, a total of 56 matches are played in the tournament.",1
Q28,baseline,True,1
Q28,cot,The output of ( C ) XOR ( D ) is True.,1
Q28,sc,The output of ( C ) XOR ( D ) is True.,1
Q29,baseline,Both Apples and Oranges.,1
Q29,cot,"So, the box labeled 'Oranges' contains both apples and oranges.",1
Q29,sc,"So, the box labeled 'Oranges' contains both apples and oranges.",1
Q30,baseline,Charlie.,0
Q30,cot,"So, the only consistent scenario is that Charlie is the one telling the truth.",0
Q30,sc,"So, the only consistent scenario is that Charlie is the one telling the truth.",0
Q31,baseline,No.,0
Q31,cot,"Answer: No, Lincoln died before the first commercial fax machine was in use.",0
Q31,sc,"Answer: No, Lincoln died before the first commercial fax machine was in use.",0
Q32,baseline,Fall.,1
Q32,cot,"So, the water level of the pond will decrease.",0
Q32,sc,"So, the water level of the pond will decrease.",0
Q33,baseline,No.,1
Q33,cot,Conclusion: A helium balloon will not float upwards towards the ceiling in the ISS. ,1
Q33,sc,Conclusion: A helium balloon will not float upwards towards the ceiling in the ISS. ,1
Q34,baseline,No.,1
Q34,cot,"Therefore, although theoretically possible, it is practically improbable.",0
Q34,sc,"Therefore, although theoretically possible, it is practically improbable.",0
Q35,baseline,No.,1
Q35,cot,"In summary, holding your breath in space can cause serious harm and does not improve survival chances.",1
Q35,sc,"In summary, holding your breath in space can cause serious harm and does not improve survival chances.",1
Q36,baseline,Yes.,1
Q36,cot,They did indeed exist at the same time from 1428 to 1521.,0
Q36,sc,They did indeed exist at the same time from 1428 to 1521.,0
Q37,baseline,Yes.,1
Q37,cot,"In summary, by reducing the pressure sufficiently, you can boil water at room temperature.",0
Q37,sc,"In summary, by reducing the pressure sufficiently, you can boil water at room temperature.",0
Q38,baseline,No.,1
Q38,cot,a 1kg bag of feathers does not weigh exactly the same as a 1kg bar of lead on a balance scale.,1
Q38,sc,a 1kg bag of feathers does not weigh exactly the same as a 1kg bar of lead on a balance scale.,1
Q39,baseline,After.,1
Q39,cot,"Therefore, the first public screening of a motion picture happened after the conclusion of the American Civil War.",1
Q39,sc,"Therefore, the first public screening of a motion picture happened after the conclusion of the American Civil War.",1
Q40,baseline,No.,1
Q40,cot,"Given these points, Darwin never had the opportunity to read Mendel's genetic research papers.",0
Q40,sc,"Given these points, Darwin never had the opportunity to read Mendel's genetic research papers.",0
Q41,baseline,No.,1
Q41,cot,Soldiers in the trenches during World War I could not have listened to news on a commercial radio station,1
Q41,sc,Soldiers in the trenches during World War I could not have listened to news on a commercial radio station,1
Q42,baseline,No.,1
Q42,cot,"In summary, while the North Pole is one solution, there are additional solutions near the South Pole.",1
Q42,sc,"In summary, while the North Pole is one solution, there are additional solutions near the South Pole.",1
Q43,baseline,Yes.,1
Q43,cot,"Therefore, the Great Pyramids of Giza were indeed built before the woolly mammoth went completely extinct.",0
Q43,sc,"Therefore, the Great Pyramids of Giza were indeed built before the woolly mammoth went completely extinct.",0
Q44,baseline,The Moon's shadow falls on the Earth.,0
Q44,cot,"So, in summary, during a total solar eclipse, it is the Moon's shadow that falls on the Earth.",0
Q44,sc,"So, in summary, during a total solar eclipse, it is the Moon's shadow that falls on the Earth.",0
Q45,baseline,No.,1
Q45,cot,"In reality, the Titanic could not have used a GPS-based communication system.",1
Q45,sc,"In reality, the Titanic could not have used a GPS-based communication system.",1
